A B eAA eBB eAB rAA rBB rAB fB logRc W group
L J 1.000000 0.200000 0.800000 0.950000 1.000000 0.975000 0.10 -2.057000 0.423081 3 
L J 1.000000 0.200000 0.750000 0.950000 1.000000 0.975000 0.10 -2.169000 0.439498 3 
L J 1.000000 0.200000 0.700000 0.950000 1.000000 0.975000 0.10 -2.185000 0.414535 3 
L J 1.000000 0.200000 0.650000 0.950000 1.000000 0.975000 0.10 -2.089000 0.407743 3 
L J 1.000000 0.200000 0.600000 0.950000 1.000000 0.975000 0.10 -2.425000 0.412859 3 
L J 1.000000 0.200000 0.500000 0.950000 1.000000 0.975000 0.10 -2.233000 0.405060 3 
L J 1.000000 0.250000 0.900000 0.950000 1.000000 0.975000 0.10 -2.185000 0.411615 3 
L J 1.000000 0.250000 0.850000 0.950000 1.000000 0.975000 0.10 -2.137000 0.417037 3 
L J 1.000000 0.250000 0.800000 0.950000 1.000000 0.975000 0.10 -2.217000 0.451816 3 
L J 1.000000 0.250000 0.750000 0.950000 1.000000 0.975000 0.10 -2.129000 0.405211 3 
L J 1.000000 0.250000 0.700000 0.950000 1.000000 0.975000 0.10 -2.433000 0.419725 3 
L J 1.000000 0.250000 0.650000 0.950000 1.000000 0.975000 0.10 -2.281000 0.434871 3 
L J 1.000000 0.250000 0.600000 0.950000 1.000000 0.975000 0.10 -1.912000 0.251919 3 
L J 1.000000 0.250000 0.550000 0.950000 1.000000 0.975000 0.10 -2.361000 0.398775 3 
L J 1.000000 0.300000 0.950000 0.950000 1.000000 0.975000 0.10 -2.201000 0.430949 3 
L J 1.000000 0.300000 0.900000 0.950000 1.000000 0.975000 0.10 -2.177000 0.421236 3 
L J 1.000000 0.300000 0.850000 0.950000 1.000000 0.975000 0.10 -2.377000 0.383034 3 
L J 1.000000 0.300000 0.800000 0.950000 1.000000 0.975000 0.10 -1.944000 0.263927 3 
L J 1.000000 0.300000 0.750000 0.950000 1.000000 0.975000 0.10 -2.024000 0.377477 3 
L J 1.000000 0.300000 0.700000 0.950000 1.000000 0.975000 0.10 -2.089000 0.370327 3 
L J 1.000000 0.300000 0.600000 0.950000 1.000000 0.975000 0.10 -2.185000 0.460212 3 
L J 1.000000 0.300000 0.550000 0.950000 1.000000 0.975000 0.10 -2.201000 0.292579 3 
L J 1.000000 0.350000 0.950000 0.950000 1.000000 0.975000 0.10 -2.241000 0.408205 3 
L J 1.000000 0.350000 0.900000 0.950000 1.000000 0.975000 0.10 -2.073000 0.142824 3 
L J 1.000000 0.350000 0.850000 0.950000 1.000000 0.975000 0.10 -2.193000 0.439019 3 
L J 1.000000 0.350000 0.800000 0.950000 1.000000 0.975000 0.10 -2.289000 0.434108 3 
L J 1.000000 0.350000 0.750000 0.950000 1.000000 0.975000 0.10 -2.385000 0.356391 3 
L J 1.000000 0.350000 0.700000 0.950000 1.000000 0.975000 0.10 -2.177000 0.408690 3 
L J 1.000000 0.350000 0.650000 0.950000 1.000000 0.975000 0.10 -2.049000 0.402489 3 
L J 1.000000 0.350000 0.600000 0.950000 1.000000 0.975000 0.10 -2.321000 0.413537 3 
L J 1.000000 0.400000 1.000000 0.950000 1.000000 0.975000 0.10 -2.257000 0.364102 3 
L J 1.000000 0.400000 0.850000 0.950000 1.000000 0.975000 0.10 -2.313000 0.415086 3 
L J 1.000000 0.400000 0.800000 0.950000 1.000000 0.975000 0.10 -2.185000 0.403917 3 
L J 1.000000 0.400000 0.750000 0.950000 1.000000 0.975000 0.10 -2.153000 0.345518 3 
L J 1.000000 0.400000 0.700000 0.950000 1.000000 0.975000 0.10 -2.177000 0.402578 3 
L J 1.000000 0.400000 0.650000 0.950000 1.000000 0.975000 0.10 -2.137000 0.451309 3 
L J 1.000000 0.400000 0.600000 0.950000 1.000000 0.975000 0.10 -2.121000 0.343016 3 
L J 1.000000 0.450000 0.900000 0.950000 1.000000 0.975000 0.10 -2.185000 0.408472 3 
