,A,B,eAA,eBB,eAB,rAA,rBB,rAB,fB,W,group,epsilon1,epsilon2,sigma
854,L,J,1.0,0.3,0.95,0.95,1.0,0.975,0.5,0.430473,3,-0.5384615384615384,1.4615384615384615,0.05128205128205133
901,L,J,1.0,1.0,0.6,0.95,1.0,0.975,0.5,0.461985,3,0.0,0.6,0.05128205128205133
890,L,J,1.0,0.8,1.1,0.95,1.0,0.975,0.5,0.435725,3,-0.11111111111111108,1.2222222222222223,0.05128205128205133
996,L,J,1.0,1.0,3.5,0.95,1.0,0.975,0.5,0.507179,3,0.0,3.5,0.05128205128205133
918,L,J,1.0,0.9,1.1,0.95,1.0,0.975,0.5,0.473865,3,-0.05263157894736841,1.1578947368421053,0.05128205128205133
894,L,J,1.0,0.9,0.9,0.95,1.0,0.975,0.5,0.432961,3,-0.05263157894736841,0.9473684210526316,0.05128205128205133
855,L,J,1.0,0.3,0.9,0.95,1.0,0.975,0.5,0.438602,3,-0.5384615384615384,1.3846153846153846,0.05128205128205133
984,L,J,1.0,0.3,1.1,0.95,1.0,0.975,0.5,0.458796,3,-0.5384615384615384,1.6923076923076923,0.05128205128205133
871,L,J,1.0,0.4,0.85,0.95,1.0,0.975,0.5,0.395684,3,-0.4285714285714286,1.2142857142857144,0.05128205128205133
1021,L,J,1.0,0.3,2.25,0.95,1.0,0.975,0.5,0.498638,3,-0.5384615384615384,3.4615384615384612,0.05128205128205133
858,L,J,1.0,0.3,0.75,0.95,1.0,0.975,0.5,0.435587,3,-0.5384615384615384,1.1538461538461537,0.05128205128205133
919,L,J,1.0,0.9,1.2,0.95,1.0,0.975,0.5,0.46288,3,-0.05263157894736841,1.263157894736842,0.05128205128205133
972,L,J,1.0,0.4,0.3,0.95,1.0,0.975,0.5,0.455462,3,-0.4285714285714286,0.4285714285714286,0.05128205128205133
915,L,J,1.0,0.9,0.7,0.95,1.0,0.975,0.5,0.456166,3,-0.05263157894736841,0.7368421052631579,0.05128205128205133
862,L,J,1.0,0.35,0.95,0.95,1.0,0.975,0.5,0.416774,3,-0.48148148148148145,1.4074074074074072,0.05128205128205133
917,L,J,1.0,0.9,1.0,0.95,1.0,0.975,0.5,0.451274,3,-0.05263157894736841,1.0526315789473684,0.05128205128205133
870,L,J,1.0,0.4,1.0,0.95,1.0,0.975,0.5,0.445058,3,-0.4285714285714286,1.4285714285714286,0.05128205128205133
988,L,J,1.0,0.2,0.4,0.95,1.0,0.975,0.5,0.436907,3,-0.6666666666666667,0.6666666666666667,0.05128205128205133
1015,L,J,1.0,0.4,2.25,0.95,1.0,0.975,0.5,0.494612,3,-0.4285714285714286,3.2142857142857144,0.05128205128205133
912,L,J,1.0,0.9,0.4,0.95,1.0,0.975,0.5,0.417779,3,-0.05263157894736841,0.4210526315789474,0.05128205128205133
1000,L,J,1.0,0.8,2.0,0.95,1.0,0.975,0.5,0.46585,3,-0.11111111111111108,2.2222222222222223,0.05128205128205133
1031,L,J,1.0,0.1,0.75,0.95,1.0,0.975,0.5,0.488033,3,-0.8181818181818181,1.3636363636363635,0.05128205128205133
907,L,J,1.0,1.0,1.6,0.95,1.0,0.975,0.5,0.466088,3,0.0,1.6,0.05128205128205133
